nwsli,date,time,high_F,low_F,precip,snow_inch,snowd_inch
CHMW3,2023-04-10,06 AM,,,0,0,0
CHMW3,2023-04-11,06 AM,,,0,0,0
CHMW3,2023-04-12,08 AM,,,0,0,0
CHMW3,2023-04-13,05 AM,,,0,0,0
CHMW3,2023-04-14,06 AM,,,0,0,0
CHMW3,2023-04-15,07 AM,,,0,0,0
CHMW3,2023-04-16,06 AM,,,0.53,0,0
CHMW3,2023-04-17,07 AM,,,0.6,2,2
CHMW3,2023-04-18,07 AM,,,0.02,T,0
CHMW3,2023-04-19,07 AM,,,T,0,0
CHMW3,2023-04-20,07 AM,,,0.05,0,0
CHMW3,2023-04-21,06 AM,,,0.12,0,0
CHMW3,2023-04-22,06 AM,,,0.02,T,0
CHMW3,2023-04-23,08 AM,,,0.01,T,0
CHMW3,2023-04-24,06 AM,,,T,0,0
CHMW3,2023-04-25,06 AM,,,0.05,0,0
CHMW3,2023-04-26,08 AM,,,T,0,0
CHMW3,2023-04-27,06 AM,,,0,0,0
CHMW3,2023-04-28,06 AM,,,0,0,0
CHMW3,2023-04-29,06 AM,,,0.25,0,0
CHMW3,2023-04-30,08 AM,,,0.1,0,0
CHMW3,2023-05-01,06 AM,,,0.12,0,0
CHMW3,2023-05-02,06 AM,,,0.1,0,0
CHMW3,2023-05-03,06 AM,,,0,0,0
CHMW3,2023-05-04,06 AM,,,0,0,0
CHMW3,2023-05-05,06 AM,,,0,0,0
CHMW3,2023-05-06,06 AM,,,0.09,0,0
CHMW3,2023-05-07,07 AM,,,0,0,0
CHMW3,2023-05-08,06 AM,,,0.03,0,0
CHMW3,2023-05-09,06 AM,,,0.48,0,0
CHMW3,2023-05-10,06 AM,,,0,0,0
CHMW3,2023-05-11,06 AM,,,0,0,0
CHMW3,2023-05-12,05 AM,,,T,0,0
CHMW3,2023-05-13,06 AM,,,0.02,0,0
CHMW3,2023-05-14,08 AM,,,0,0,0
CHMW3,2023-05-15,06 AM,,,0.14,0,0
CHMW3,2023-05-16,05 AM,,,T,0,0
CHMW3,2023-05-17,06 AM,,,0,0,0
CHMW3,2023-05-18,06 AM,,,0,0,0
CHMW3,2023-05-19,06 AM,,,0.06,0,0
CHMW3,2023-05-20,06 AM,,,0,0,0
CHMW3,2023-05-21,06 AM,,,0,0,0
CHMW3,2023-05-22,06 AM,,,0,0,0
CHMW3,2023-05-23,05 AM,,,0,0,0
CHMW3,2023-05-24,06 AM,,,0,0,0
CHMW3,2023-05-25,06 AM,,,0,0,0
CHMW3,2023-05-26,06 AM,,,0,0,0
CHMW3,2023-05-27,07 AM,,,0,0,0
CHMW3,2023-05-28,06 AM,,,0,0,0
CHMW3,2023-05-29,08 AM,,,0,0,0
CHMW3,2023-05-30,06 AM,,,0,0,0
CHMW3,2023-05-31,06 AM,,,0,0,0
CHMW3,2023-06-01,05 AM,,,T,0,0
CHMW3,2023-06-02,05 AM,,,T,0,0
CHMW3,2023-06-03,06 AM,,,0,0,0
CHMW3,2023-06-04,06 AM,,,0,0,0
CHMW3,2023-06-05,06 AM,,,0,0,0
CHMW3,2023-06-06,07 AM,,,0,0,0
CHMW3,2023-06-07,06 AM,,,0.17,0,0
CHMW3,2023-06-08,06 AM,,,0,0,0
CHMW3,2023-06-09,06 AM,,,0,0,0
CHMW3,2023-06-10,08 AM,,,0,0,0
CHMW3,2023-06-11,06 AM,,,0.1,0,0
CHMW3,2023-06-12,06 AM,,,0.04,0,0
CHMW3,2023-06-13,05 AM,,,0.05,0,0
CHMW3,2023-06-14,06 AM,,,0.05,0,0
CHMW3,2023-06-15,06 AM,,,0,0,0
CHMW3,2023-06-16,06 AM,,,0,0,0
CHMW3,2023-06-17,06 AM,,,0,0,0
CHMW3,2023-06-18,08 AM,,,0,0,0
CHMW3,2023-06-19,06 AM,,,0,0,0
CHMW3,2023-06-20,05 AM,,,0,0,0
CHMW3,2023-06-21,06 AM,,,0,0,0
CHMW3,2023-06-22,06 AM,,,0,0,0
CHMW3,2023-06-23,06 AM,,,0,0,0
CHMW3,2023-06-24,06 AM,,,0,0,0
CHMW3,2023-06-25,06 AM,,,0.21,0,0
CHMW3,2023-06-26,06 AM,,,0.03,0,0
CHMW3,2023-06-27,06 AM,,,T,0,0
CHMW3,2023-06-28,06 AM,,,0,0,0
CHMW3,2023-06-29,06 AM,,,0,0,0
CHMW3,2023-06-30,06 AM,,,0,0,0
CHMW3,2023-07-01,07 AM,,,0,0,0
CHMW3,2023-07-02,06 AM,,,T,0,0
CHMW3,2023-07-03,05 AM,,,0.02,0,0
CHMW3,2023-07-04,06 AM,,,0,0,0
CHMW3,2023-07-05,06 AM,,,0.03,0,0
CHMW3,2023-07-06,06 AM,,,1.01,0,0
CHMW3,2023-07-07,06 AM,,,0,0,0
CHMW3,2023-07-08,05 AM,,,T,0,0
CHMW3,2023-07-09,06 AM,,,0,0,0
CHMW3,2023-07-10,06 AM,,,0,0,0
CHMW3,2023-07-11,06 AM,,,0.04,0,0
CHMW3,2023-07-12,06 AM,,,0,0,0
CHMW3,2023-07-13,06 AM,,,1.65,0,0
CHMW3,2023-07-14,06 AM,,,0.28,0,0
CHMW3,2023-07-15,06 AM,,,0.21,0,0
CHMW3,2023-07-16,06 AM,,,0.04,0,0
CHMW3,2023-07-17,06 AM,,,0.13,0,0
CHMW3,2023-07-18,06 AM,,,0,0,0
CHMW3,2023-07-19,06 AM,,,0,0,0
CHMW3,2023-07-20,06 AM,,,0,0,0
CHMW3,2023-07-21,07 AM,,,0,0,0
CHMW3,2023-07-22,07 AM,,,0,0,0
CHMW3,2023-07-23,06 AM,,,0.27,0,0
CHMW3,2023-07-24,07 AM,,,0,0,0
CHMW3,2023-07-25,06 AM,,,0,0,0
CHMW3,2023-07-26,07 AM,,,0,0,0
CHMW3,2023-07-27,06 AM,,,0.35,0,0
CHMW3,2023-07-28,07 AM,,,0.18,0,0
CHMW3,2023-07-29,07 AM,,,2,0,0
CHMW3,2023-07-30,08 AM,,,0,0,0
CHMW3,2023-07-31,06 AM,,,0,0,0
CHMW3,2023-08-01,06 AM,,,0,,
CHMW3,2023-08-02,08 AM,,,0,0,0
CHMW3,2023-08-03,06 AM,,,0,0,0
CHMW3,2023-08-04,06 AM,,,0,0,0
CHMW3,2023-08-05,06 AM,,,0,0,0
CHMW3,2023-08-06,08 AM,,,0,0,0
CHMW3,2023-08-07,07 AM,,,0,0,0
CHMW3,2023-08-08,06 AM,,,0,0,0
CHMW3,2023-08-09,06 AM,,,0,,
CHMW3,2023-08-10,06 AM,,,0,0,0
CHMW3,2023-08-11,06 AM,,,0.001,,
CHMW3,2023-08-12,06 AM,,,0.45,0,0
CHMW3,2023-08-13,06 AM,,,0,0,0
CHMW3,2023-08-14,06 AM,,,0.43,,
CHMW3,2023-08-15,06 AM,,,1.76,,
CHMW3,2023-08-16,05 AM,,,0,,
CHMW3,2023-08-17,06 AM,,,0.1,,
CHMW3,2023-08-18,06 AM,,,0,,
CHMW3,2023-08-19,07 AM,,,0,0,0
CHMW3,2023-08-20,07 AM,,,0,0,0
CHMW3,2023-08-21,06 AM,,,0,,
CHMW3,2023-08-22,06 AM,,,0,,
CHMW3,2023-08-23,06 AM,,,0,,
CHMW3,2023-08-24,06 AM,,,0,,
CHMW3,2023-08-25,07 AM,,,0.001,0,0
CHMW3,2023-08-26,06 AM,,,0,0,0
CHMW3,2023-08-27,06 AM,,,0,,
CHMW3,2023-08-28,06 AM,,,0,,
CHMW3,2023-08-29,06 AM,,,0.01,,
CHMW3,2023-08-30,06 AM,,,0,,
CHMW3,2023-08-31,06 AM,,,0,,
CHMW3,2023-09-01,07 AM,,,0,,
CHMW3,2023-09-02,08 AM,,,0,0,0
CHMW3,2023-09-03,06 AM,,,0,,
CHMW3,2023-09-04,06 AM,,,0,0,0
CHMW3,2023-09-05,,,,,,
CHMW3,2023-09-06,06 AM,,,0.01,,
CHMW3,2023-09-07,06 AM,,,0.02,,
CHMW3,2023-09-08,06 AM,,,T,,
CHMW3,2023-09-09,,,,,,
